기준일,기준가격,등락가,등락비율,,
2017-09-15,146.00 ,0.00 ,0.00 ,,
2017-09-18,146.00 ,0.00 ,0.00 ,,
2017-09-19,146.00 ,0.00 ,0.00 ,,
2017-09-20,146.00 ,0.00 ,0.00 ,,
2017-09-21,146.00 ,0.00 ,0.00 ,,
2017-09-22,146.00 ,0.00 ,0.00 ,,
2017-09-25,146.00 ,0.00 ,0.00 ,,
2017-09-26,146.00 ,0.00 ,0.00 ,,
2017-09-27,146.00 ,0.00 ,0.00 ,,
2017-09-28,146.00 ,0.00 ,0.00 ,,
2017-09-29,146.00 ,0.00 ,0.00 ,,
2017-10-02,146.00 ,0.00 ,0.00 ,,
2017-10-03,146.00 ,0.00 ,0.00 ,,
2017-10-04,146.00 ,0.00 ,0.00 ,,
2017-10-05,146.00 ,0.00 ,0.00 ,,
2017-10-06,146.00 ,0.00 ,0.00 ,,
2017-10-09,146.00 ,0.00 ,0.00 ,,
2017-10-10,146.00 ,0.00 ,0.00 ,,
2017-10-11,149.00 ,3.00 ,2.05 ,,
2017-10-12,152.00 ,3.00 ,2.01 ,,
2017-10-13,152.00 ,0.00 ,0.00 ,,
2017-10-16,152.00 ,0.00 ,0.00 ,,
2017-10-17,152.00 ,0.00 ,0.00 ,,
2017-10-18,152.00 ,0.00 ,0.00 ,,
2017-10-19,152.00 ,0.00 ,0.00 ,,
2017-10-20,152.00 ,0.00 ,0.00 ,,
2017-10-23,152.00 ,0.00 ,0.00 ,,
2017-10-24,152.00 ,0.00 ,0.00 ,,
2017-10-25,152.00 ,0.00 ,0.00 ,,
2017-10-26,152.00 ,0.00 ,0.00 ,,
2017-10-27,152.00 ,0.00 ,0.00 ,,
2017-10-30,152.00 ,0.00 ,0.00 ,,
2017-10-31,152.00 ,0.00 ,0.00 ,,
2017-11-01,152.00 ,0.00 ,0.00 ,,
2017-11-02,155.00 ,3.00 ,1.97 ,,
2017-11-03,155.00 ,0.00 ,0.00 ,,
2017-11-06,155.00 ,0.00 ,0.00 ,,
2017-11-07,155.00 ,0.00 ,0.00 ,,
2017-11-08,155.00 ,0.00 ,0.00 ,,
2017-11-09,155.00 ,0.00 ,0.00 ,,
2017-11-10,155.00 ,0.00 ,0.00 ,,
2017-11-13,155.00 ,0.00 ,0.00 ,,
2017-11-14,155.00 ,0.00 ,0.00 ,,
2017-11-15,155.00 ,0.00 ,0.00 ,,
2017-11-16,155.00 ,0.00 ,0.00 ,,
2017-11-17,155.00 ,0.00 ,0.00 ,,
2017-11-20,155.00 ,0.00 ,0.00 ,,
2017-11-21,155.00 ,0.00 ,0.00 ,,
2017-11-22,155.00 ,0.00 ,0.00 ,,
2017-11-23,155.00 ,0.00 ,0.00 ,,
2017-11-24,155.00 ,0.00 ,0.00 ,,
2017-11-27,155.00 ,0.00 ,0.00 ,,
2017-11-28,155.00 ,0.00 ,0.00 ,,
2017-11-29,155.00 ,0.00 ,0.00 ,,
2017-11-30,155.00 ,0.00 ,0.00 ,,
2017-12-01,155.00 ,0.00 ,0.00 ,,
2017-12-04,155.00 ,0.00 ,0.00 ,,
2017-12-05,155.00 ,0.00 ,0.00 ,,
2017-12-06,155.00 ,0.00 ,0.00 ,,
2017-12-07,155.00 ,0.00 ,0.00 ,,
2017-12-08,155.00 ,0.00 ,0.00 ,,
2017-12-11,155.00 ,0.00 ,0.00 ,,
2017-12-12,155.00 ,0.00 ,0.00 ,,
2017-12-13,155.00 ,0.00 ,0.00 ,,
2017-12-14,155.00 ,0.00 ,0.00 ,,
2017-12-15,152.00 ,-3.00 ,-1.94 ,,
2017-12-18,152.00 ,0.00 ,0.00 ,,
2017-12-19,152.00 ,0.00 ,0.00 ,,
2017-12-20,152.00 ,0.00 ,0.00 ,,
2017-12-21,150.00 ,-2.00 ,-1.32 ,,
2017-12-22,150.00 ,0.00 ,0.00 ,,
2017-12-25,150.00 ,0.00 ,0.00 ,,
2017-12-26,150.00 ,0.00 ,0.00 ,,
2017-12-27,150.00 ,0.00 ,0.00 ,,
2017-12-28,150.00 ,0.00 ,0.00 ,,
2017-12-29,150.00 ,0.00 ,0.00 ,,
2018-01-02,150.00 ,0.00 ,0.00 ,,
2018-01-03,151.00 ,1.00 ,0.67 ,,
2018-01-04,150.00 ,-1.00 ,-0.66 ,,
2018-01-05,150.00 ,0.00 ,0.00 ,,
2018-01-08,150.00 ,0.00 ,0.00 ,,
2018-01-09,148.50 ,-1.50 ,-1.00 ,,
2018-01-10,148.50 ,0.00 ,0.00 ,,
2018-01-11,148.50 ,0.00 ,0.00 ,,
2018-01-12,148.50 ,0.00 ,0.00 ,,
2018-01-15,146.50 ,-2.00 ,-1.35 ,,
2018-01-16,146.50 ,0.00 ,0.00 ,,
2018-01-17,146.50 ,0.00 ,0.00 ,,
2018-01-18,146.50 ,0.00 ,0.00 ,,
2018-01-19,146.50 ,0.00 ,0.00 ,,
2018-01-22,146.50 ,0.00 ,0.00 ,,
2018-01-23,146.50 ,0.00 ,0.00 ,,
2018-01-24,144.50 ,-2.00 ,-1.37 ,,
2018-01-25,144.50 ,0.00 ,0.00 ,,
2018-01-26,144.50 ,0.00 ,0.00 ,,
2018-01-29,144.50 ,0.00 ,0.00 ,,
2018-01-30,144.50 ,0.00 ,0.00 ,,
2018-01-31,144.50 ,0.00 ,0.00 ,,
2018-02-01,144.50 ,0.00 ,0.00 ,,
2018-02-02,144.50 ,0.00 ,0.00 ,,
2018-02-05,144.50 ,0.00 ,0.00 ,,
2018-02-06,144.50 ,0.00 ,0.00 ,,
2018-02-07,144.50 ,0.00 ,0.00 ,,
2018-02-08,144.50 ,0.00 ,0.00 ,,
2018-02-09,144.50 ,0.00 ,0.00 ,,
2018-02-22,144.50 ,0.00 ,0.00 ,,
2018-02-23,144.50 ,0.00 ,0.00 ,,
2018-02-26,144.50 ,0.00 ,0.00 ,,
2018-02-27,144.50 ,0.00 ,0.00 ,,
2018-02-28,144.50 ,0.00 ,0.00 ,,
2018-03-01,144.50 ,0.00 ,0.00 ,,
2018-03-02,144.50 ,0.00 ,0.00 ,,
2018-03-05,144.50 ,0.00 ,0.00 ,,
2018-03-06,144.50 ,0.00 ,0.00 ,,
2018-03-07,144.50 ,0.00 ,0.00 ,,
2018-03-08,144.50 ,0.00 ,0.00 ,,
2018-03-09,144.50 ,0.00 ,0.00 ,,
2018-03-12,144.50 ,0.00 ,0.00 ,,
2018-03-13,144.50 ,0.00 ,0.00 ,,
2018-03-14,144.50 ,0.00 ,0.00 ,,
2018-03-15,144.50 ,0.00 ,0.00 ,,
2018-03-16,144.50 ,0.00 ,0.00 ,,
2018-03-19,144.50 ,0.00 ,0.00 ,,
2018-03-20,144.50 ,0.00 ,0.00 ,,
2018-03-21,144.50 ,0.00 ,0.00 ,,
2018-03-22,144.50 ,0.00 ,0.00 ,,
2018-03-23,144.50 ,0.00 ,0.00 ,,
2018-03-26,144.50 ,0.00 ,0.00 ,,
