일자,금리
2011-09-30,3.446
2011-10-31,3.469
2011-11-30,3.394090909090909
2011-12-31,3.3613636363636363
2012-01-31,3.371
2012-02-29,3.4342857142857146
2012-03-31,3.5557142857142856
2012-04-30,3.501
2012-05-31,3.378095238095238
2012-06-30,3.289
2012-07-31,3.011818181818182
2012-08-31,2.8318181818181816
2012-09-30,2.8120000000000003
2012-10-31,2.7804761904761905
2012-11-30,2.799090909090909
2012-12-31,2.85
2013-01-31,2.745
2013-02-28,2.7047368421052633
2013-03-31,2.6
2013-04-30,2.5504545454545453
2013-05-31,2.5942857142857143
2013-06-30,2.869473684210526
2013-07-31,2.9134782608695655
2013-08-31,2.9376190476190476
2013-09-30,2.8966666666666665
2013-10-31,2.833809523809524
2013-11-30,2.9376190476190476
2013-12-31,2.940952380952381
2014-01-31,2.8914999999999997
2014-02-28,2.8555
2014-03-31,2.875714285714286
2014-04-30,2.8759090909090905
2014-05-31,2.8394736842105264
2014-06-30,2.7463157894736843
2014-07-31,2.5582608695652174
2014-08-31,2.541
2014-09-30,2.4057894736842105
2014-10-31,2.2404761904761905
2014-11-30,2.1390000000000002
2014-12-31,2.143636363636364
2015-01-31,2.04
2015-02-28,2.0247058823529414
2015-03-31,1.8659090909090907
2015-04-30,1.7381818181818183
2015-05-31,1.8766666666666667
2015-06-30,1.7740909090909092
2015-07-31,1.7786956521739132
2015-08-31,1.7355
2015-09-30,1.6524999999999999
2015-10-31,1.628095238095238
2015-11-30,1.752857142857143
2015-12-31,1.7195454545454545
2016-01-31,1.6285
2016-02-29,1.475
2016-03-31,1.4977272727272728
2016-04-30,1.468
2016-05-31,1.454
2016-06-30,1.3347619047619048
2016-07-31,1.2180952380952381
2016-08-31,1.2386363636363635
2016-09-30,1.3142105263157895
2016-10-31,1.3615
2016-11-30,1.61
2016-12-31,1.6927272727272729
2017-01-31,1.6445
2017-02-28,1.666
2017-03-31,1.71
2017-04-30,1.6780000000000002
2017-05-31,1.6905263157894737
2017-06-30,1.6742857142857142
2017-07-31,1.74
2017-08-31,1.7780952380952382
2017-09-30,1.786190476190476
2017-10-31,2.026875
2017-11-30,2.150909090909091
2017-12-31,2.0985
2018-01-31,2.1895454545454545
2018-02-28,2.2772222222222225
2018-03-31,2.271904761904762
2018-04-30,2.194761904761905
2018-05-31,2.2515
2018-06-30,2.176111111111111
2018-07-31,2.098181818181818
2018-08-31,2.0195454545454545
2018-09-30,1.952941176470588
2018-10-31,2.0100000000000002
2018-11-30,1.9395454545454547
2018-12-31,1.825
2019-01-31,1.8071428571428574
2019-02-28,1.8011764705882354
2019-03-31,1.7885000000000002
2019-04-30,1.7368181818181818
2019-05-31,1.6809523809523808
2019-06-30,1.4957894736842106
2019-07-31,1.3808695652173912
2019-08-31,1.1642857142857141
2019-09-30,1.2878947368421052
2019-10-31,1.3576190476190475
2019-11-30,1.4928571428571429
2019-12-31,1.3904761904761904
2020-01-31,1.3735
2020-02-29,1.2525
2020-03-31,1.0913636363636365
2020-04-30,1.0195
2020-05-31,0.8738888888888889
2020-06-30,0.8440909090909091
2020-07-31,0.8208695652173913
2020-08-31,0.8230000000000001
2020-09-30,0.9023809523809524
2020-10-31,0.9077777777777778
2020-11-30,0.9604761904761904
2020-12-31,0.9659090909090909
2021-01-31,0.9705
2021-02-28,0.9927777777777779
2021-03-31,1.1266666666666667
2021-04-30,1.1342857142857143
2021-05-31,1.1305263157894736
2021-06-30,1.2972727272727271
2021-07-31,1.415
2021-08-31,1.4057142857142857
2021-09-30,1.51
2021-10-31,1.8368421052631578
2021-11-30,1.9481818181818182
2021-12-31,1.7956521739130433
2022-01-31,2.0545
2022-02-28,2.28
2022-03-31,2.363809523809524
2022-04-30,2.9357142857142855
2022-05-31,3.0128571428571425
2022-06-30,3.4594117647058824
