일자,동행지수,선행지수
1988년 10월 01일,100.4,99.6
1988년 09월 01일,100.1,100.1
1988년 08월 01일,100.1,100.2
1988년 07월 01일,99.8,100
1988년 06월 01일,100,100
1988년 05월 01일,100.3,100.3
1988년 04월 01일,101.1,100.4
1988년 03월 01일,101.7,100.5
1988년 02월 01일,102.2,100.7
1988년 01월 01일,102.1,100.7
1987년 12월 01일,102.2,100.9
1987년 11월 01일,101.7,100.6
1987년 10월 01일,100.6,100.4
1987년 09월 01일,100.4,100.3
1987년 08월 01일,101,100.1
1987년 07월 01일,102.1,100.3
1987년 06월 01일,101.9,100.2
1987년 05월 01일,101.4,100.5
1987년 04월 01일,100.7,100.6
1987년 03월 01일,100.4,100.7
1987년 02월 01일,100,100.6
1987년 01월 01일,99.8,100.5
1986년 12월 01일,100.1,100.7
1986년 11월 01일,100.1,100.8
1986년 10월 01일,100.3,101
1986년 09월 01일,100.5,100.9
1986년 08월 01일,100.6,100.9
1986년 07월 01일,100.5,100.8
1986년 06월 01일,100.4,100.9
1986년 05월 01일,100,100.7
1986년 04월 01일,99.1,100.5
1986년 03월 01일,98.8,100.1
1986년 02월 01일,98.9,99.9
1986년 01월 01일,98.8,99.9
1985년 12월 01일,98.8,99.8
1985년 11월 01일,98.2,99.7
1985년 10월 01일,97.8,99.6
1985년 09월 01일,97.8,99.7
1985년 08월 01일,98.1,99.6
1985년 07월 01일,98.6,99.4
1985년 06월 01일,98.8,99.4
1985년 05월 01일,98.7,99.6
1985년 04월 01일,98.5,100.1
1985년 03월 01일,98.2,100
1985년 02월 01일,98.4,99.9
1985년 01월 01일,98.6,100.1
1984년 12월 01일,99.3,100.3
1984년 11월 01일,99.5,100.2
1984년 10월 01일,100.1,99.6
1984년 09월 01일,100.7,99.5
1984년 08월 01일,101.3,100.1
1984년 07월 01일,101.5,100.2
1984년 06월 01일,101.6,100.4
1984년 05월 01일,101.4,100.7
1984년 04월 01일,101.4,100.6
1984년 03월 01일,101.7,100.7
1984년 02월 01일,101.5,100.7
1984년 01월 01일,101.8,101
1983년 12월 01일,101.3,101
1983년 11월 01일,101.3,101.2
1983년 10월 01일,101.2,101.3
1983년 09월 01일,101,101.4
1983년 08월 01일,100.9,101.5
1983년 07월 01일,100.8,101.9
1983년 06월 01일,100.7,101.8
1983년 05월 01일,100.3,101.5
1983년 04월 01일,99.8,100.8
1983년 03월 01일,100,101.2
1983년 02월 01일,100.1,101.1
1983년 01월 01일,100,101
1982년 12월 01일,99.7,100.3
1982년 11월 01일,99.7,100.2
1982년 10월 01일,99.3,99.9
1982년 09월 01일,99.5,99.8
1982년 08월 01일,99,99.5
1982년 07월 01일,99.2,99.3
1982년 06월 01일,99.1,99
1982년 05월 01일,99,99.4
1982년 04월 01일,99.2,99.6
1982년 03월 01일,99.6,99.8
1982년 02월 01일,99.8,99.8
1982년 01월 01일,100.5,100
1981년 12월 01일,100.9,100.4
1981년 11월 01일,101.1,101
1981년 10월 01일,101.4,101.4
1981년 09월 01일,101.3,101.6
1981년 08월 01일,101.5,101.7
1981년 07월 01일,101.4,101.7
1981년 06월 01일,101.4,101.8
1981년 05월 01일,101.5,101.3
1981년 04월 01일,101,100.8
1981년 03월 01일,100.7,100.6
1981년 02월 01일,99.8,100.3
1981년 01월 01일,99.2,99.9
1980년 12월 01일,98.5,99.2
1980년 11월 01일,98,99
1980년 10월 01일,98.2,98.8
1980년 09월 01일,98,98.7
1980년 08월 01일,98.5,99
1980년 07월 01일,98.4,99
1980년 06월 01일,98.7,99.2
1980년 05월 01일,99.6,98.6
1980년 04월 01일,100.4,98.7
1980년 03월 01일,101.3,98.1
1980년 02월 01일,101.8,97.8
1980년 01월 01일,102.5,97.2
1979년 12월 01일,102.5,97.2
1979년 11월 01일,102.4,97.6
1979년 10월 01일,102.5,98.4
1979년 09월 01일,102.2,98.6
1979년 08월 01일,102.5,98.3
1979년 07월 01일,103.4,98.6
1979년 06월 01일,103.4,98.9
1979년 05월 01일,104,99.4
1979년 04월 01일,103.9,101.2
1979년 03월 01일,104.8,102.9
1979년 02월 01일,105.1,103.7
1979년 01월 01일,105.1,104.4
1978년 12월 01일,104.4,103.5
1978년 11월 01일,104.1,103.7
1978년 10월 01일,103.8,103.6
1978년 09월 01일,103.4,103.8
1978년 08월 01일,102.7,103.5
1978년 07월 01일,102,103.4
1978년 06월 01일,101.7,103.7
1978년 05월 01일,101.7,104.4
1978년 04월 01일,101.5,104.2
1978년 03월 01일,101.4,103.7
1978년 02월 01일,101.3,103
1978년 01월 01일,100.6,102.1
1977년 12월 01일,99.3,101.4
1977년 11월 01일,98.1,101
1977년 10월 01일,98,100.5
1977년 09월 01일,97.3,100.5
1977년 08월 01일,97.8,100.8
1977년 07월 01일,97.4,100.3
1977년 06월 01일,98.2,99.7
1977년 05월 01일,97.3,98.4
1977년 04월 01일,97.9,98.3
1977년 03월 01일,97.6,98.3
1977년 02월 01일,97.9,99
1977년 01월 01일,98.1,99.4
1976년 12월 01일,98.5,99.6
1976년 11월 01일,99.3,99.5
1976년 10월 01일,99.9,99.9
1976년 09월 01일,101.3,100.3
1976년 08월 01일,101.5,100.9
1976년 07월 01일,101,101
1976년 06월 01일,99.7,101.4
1976년 05월 01일,99.2,102.1
1976년 04월 01일,99,102.3
1976년 03월 01일,99.4,101.7
1976년 02월 01일,99.5,100.8
1976년 01월 01일,99.8,100.3
1975년 12월 01일,99.1,100
1975년 11월 01일,98.9,99.8
1975년 10월 01일,98.5,99.8
1975년 09월 01일,98.1,99.1
1975년 08월 01일,98.4,99.5
1975년 07월 01일,97.4,99.8
1975년 06월 01일,98.2,99.2
1975년 05월 01일,98.6,98.4
1975년 04월 01일,99.4,96.9
1975년 03월 01일,99.9,95.9
1975년 02월 01일,100.1,96.1
1975년 01월 01일,99.5,96
1974년 12월 01일,99.4,97.1
1974년 11월 01일,99.5,95.9
1974년 10월 01일,100.1,95.6
1974년 09월 01일,101.9,96.2
1974년 08월 01일,103.2,96.7
1974년 07월 01일,104.5,97.9
1974년 06월 01일,104,98.6
1974년 05월 01일,104,99.7
1974년 04월 01일,103.9,101.3
1974년 03월 01일,105.3,103.5
1974년 02월 01일,106.1,105.2
1974년 01월 01일,105.2,106.6
1973년 12월 01일,105.2,107.1
1973년 11월 01일,105.7,108.2
1973년 10월 01일,105.7,109.8
1973년 09월 01일,104.8,110.8
1973년 08월 01일,103.6,111.5
1973년 07월 01일,102.6,110.9
1973년 06월 01일,102.3,110.3
1973년 05월 01일,102.2,110.9
1973년 04월 01일,101.1,110.7
1973년 03월 01일,100.4,110.5
1973년 02월 01일,100.6,108.1
1973년 01월 01일,100.5,106.3
1972년 12월 01일,99.4,104.1
1972년 11월 01일,98.2,103.1
1972년 10월 01일,97.4,101.4
1972년 09월 01일,96.9,99.7
1972년 08월 01일,96,97.8
1972년 07월 01일,95.8,96.8
1972년 06월 01일,95.9,96
1972년 05월 01일,95.4,95.7
1972년 04월 01일,95.6,95
1972년 03월 01일,94.7,94.9
1972년 02월 01일,95.4,94.8
1972년 01월 01일,96.2,95.2
1971년 12월 01일,97.8,95.9
1971년 11월 01일,98.5,96.4
1971년 10월 01일,98.7,97.1
1971년 09월 01일,99.9,97.3
1971년 08월 01일,101.2,98.4
1971년 07월 01일,102,98.7
1971년 06월 01일,102.3,99.1
1971년 05월 01일,101.9,98.8
1971년 04월 01일,101.8,99.5
1971년 03월 01일,101.5,99.1
1971년 02월 01일,101.3,99.3
1971년 01월 01일,101.1,99.1
1970년 12월 01일,101.4,99.3
1970년 11월 01일,101.9,99.4
1970년 10월 01일,102.1,99.6
1970년 09월 01일,102.7,99.8
1970년 08월 01일,102.6,100
1970년 07월 01일,103,100.2
1970년 06월 01일,103.2,100.3
1970년 05월 01일,103.2,100.5
1970년 04월 01일,103.2,100.7
1970년 03월 01일,101.9,100.8
1970년 02월 01일,101.5,101
1970년 01월 01일,100.6,101.1
