일자,종가지수,평균지수,한국금리,미국금리,3년 국채,동행지수,선행지수,한국GDP,GDP+금리,GDP+금리+선행지수,GDP+금리+선행지수(크게),금리,100,금리+선행지수,3년국채+선행지수,
200912,1682.77,1618.21,2,0.25,4.242727273,99,102.6,"1,205,347.70"," 964,278 "," 989,349.39 "," 1,214,990.48 ",0.8,1.26,100.8,0.575727273,72.54163636
201001,1602.43,1659.305,2,0.25,4.285,99.3,102.7,"1,215,119.66"," 972,096 "," 998,342.31 "," 1,234,561.57 ",0.8,1.27,101.6,0.5715,72.5805
201002,1594.58,1590.245,2,0.25,4.19,99.7,102.5,"1,224,891.62"," 979,913 "," 1,004,411.13 "," 1,224,891.62 ",0.8,1.25,100,0.581,72.625
201003,1692.85,1657.27,2,0.25,3.94,100.1,102.3,"1,234,663.58"," 987,731 "," 1,010,448.67 "," 1,214,908.96 ",0.8,1.23,98.4,0.606,74.538
201004,1741.56,1726.53,2,0.25,3.772272727,100.5,102.1,"1,244,435.53"," 995,548 "," 1,016,454.94 "," 1,204,613.60 ",0.8,1.21,96.8,0.622772727,75.3555
201005,1641.25,1636.415,2,0.25,3.697894737,100.9,102.1,"1,254,207.49"," 1,003,366 "," 1,024,436.68 "," 1,214,072.85 ",0.8,1.21,96.8,0.630210526,76.25547368
201006,1698.29,1680.025,2,0.25,3.74952381,101,102.1,"1,263,979.45"," 1,011,184 "," 1,032,418.41 "," 1,223,532.11 ",0.8,1.21,96.8,0.625047619,75.6307619
201007,1759.33,1714.51,2,0.25,3.880909091,101.2,102,"1,273,751.41"," 1,019,001 "," 1,039,381.15 "," 1,222,801.35 ",0.8,1.2,96,0.611909091,73.42909091
201008,1742.75,1757.14,2.25,0.25,3.725909091,100.9,101.8,"1,283,523.37"," 994,731 "," 1,012,635.76 "," 1,173,782.12 ",0.775,1.18,91.45,0.627409091,74.03427273
201009,1872.81,1811.045,2.25,0.25,3.475263158,100.4,101.6,"1,293,295.33"," 1,002,304 "," 1,018,340.74 "," 1,162,672.50 ",0.775,1.16,89.9,0.652473684,75.68694737
201010,1882.95,1880.845,2.25,0.25,3.24047619,99.9,101.1,"1,303,067.28"," 1,009,877 "," 1,020,985.79 "," 1,120,963.63 ",0.775,1.11,86.025,0.675952381,75.03071429
201011,1904.63,1925.9,2.25,0.25,3.400909091,99.8,100.9,"1,312,839.24"," 1,017,450 "," 1,026,607.47 "," 1,109,020.95 ",0.775,1.09,84.475,0.659909091,71.93009091
201012,2051,1978.84,2.5,0.25,3.244090909,100,100.7,"1,322,611.20"," 991,958 "," 998,902.11 "," 1,061,395.49 ",0.75,1.07,80.25,0.675590909,72.28822727
201101,2069.73,2087.945,2.75,0.25,3.707142857,100.9,101.1,"1,328,138.37"," 962,900 "," 973,492.22 "," 1,068,819.35 ",0.725,1.11,80.475,0.629285714,69.85071429
201102,1939.3,2021.88,2.75,0.25,3.942352941,100.7,101.2,"1,333,665.53"," 966,908 "," 978,510.40 "," 1,082,936.41 ",0.725,1.12,81.2,0.605764706,67.84564706
201103,2106.7,1994.415,3,0.25,3.739090909,100.8,101.2,"1,339,192.70"," 937,435 "," 948,684.11 "," 1,049,927.08 ",0.7,1.12,78.4,0.626090909,70.12218182
201104,2192.36,2156.725,3,0.25,3.744761905,100.4,100.9,"1,344,719.87"," 941,304 "," 949,775.64 "," 1,026,021.26 ",0.7,1.09,76.3,0.62552381,68.18209524
201105,2142.47,2129.885,3,0.25,3.655,100.8,100.7,"1,350,247.03"," 945,173 "," 951,789.13 "," 1,011,335.03 ",0.7,1.07,74.9,0.6345,67.8915
201106,2100.69,2080.895,3.25,0.25,3.653333333,101.1,100.6,"1,355,774.20"," 915,148 "," 920,638.47 "," 970,056.44 ",0.675,1.06,71.55,0.634666667,67.27466667
201107,2133.21,2149.035,3.25,0.25,3.77047619,101.2,100.5,"1,361,301.37"," 918,878 "," 923,472.81 "," 964,822.34 ",0.675,1.05,70.875,0.622952381,65.41
201108,1880.11,1928.98,3.25,0.25,3.571818182,101.3,100.3,"1,366,828.53"," 922,609 "," 925,377.09 "," 950,287.54 ",0.675,1.03,69.525,0.642818182,66.21027273
201109,1769.65,1786.255,3.25,0.25,3.446,100.9,100.1,"1,372,355.70"," 926,340 "," 927,266.44 "," 935,603.50 ",0.675,1.01,68.175,0.6554,66.1954
201110,1909.03,1810.9,3.25,0.25,3.469,101,99.9,"1,377,882.87"," 930,071 "," 929,140.86 "," 920,770.23 ",0.675,0.99,66.825,0.6531,64.6569
201111,1847.51,1849.84,3.25,0.25,3.394090909,100.6,99.7,"1,383,410.03"," 933,802 "," 931,000.37 "," 905,787.72 ",0.675,0.97,65.475,0.660590909,64.07731818
201112,1825.74,1839.89,3.25,0.25,3.361363636,100.5,99.6,"1,388,937.20"," 937,533 "," 933,782.48 "," 900,031.31 ",0.675,0.96,64.8,0.663863636,63.73090909
201201,1955.79,1891.915,3.25,0.25,3.371,100.2,99.6,"1,393,201.72"," 940,411 "," 936,649.51 "," 902,794.71 ",0.675,0.96,64.8,0.6629,63.6384
201202,2030.25,1997.445,3.25,0.25,3.434285714,100.6,100,"1,397,466.23"," 943,290 "," 943,289.71 "," 943,289.71 ",0.675,1,67.5,0.656571429,65.65714286
201203,2014.04,2011.985,3.25,0.25,3.555714286,100.5,100.3,"1,401,730.75"," 946,168 "," 949,006.76 "," 974,553.30 ",0.675,1.03,69.525,0.644428571,66.37614286
201204,1981.99,2002.905,3.25,0.25,3.501,100.4,100.5,"1,405,995.27"," 949,047 "," 953,792.04 "," 996,499.15 ",0.675,1.05,70.875,0.6499,68.2395
201205,1843.47,1890.29,3.25,0.25,3.378095238,100.5,100.2,"1,410,259.78"," 951,925 "," 953,829.20 "," 970,963.86 ",0.675,1.02,68.85,0.662190476,67.54342857
201206,1854.01,1842.52,3.25,0.25,3.289,100.5,100.1,"1,414,524.30"," 954,804 "," 955,758.71 "," 964,351.94 ",0.675,1.01,68.175,0.6711,67.7811
201207,1881.99,1827.91,3,0.25,3.011818182,100.7,99.9,"1,418,788.82"," 993,152 "," 992,159.02 "," 983,220.65 ",0.7,0.99,69.3,0.698818182,69.183
201208,1905.12,1903.97,3,0.25,2.831818182,100.1,99.6,"1,423,053.33"," 996,137 "," 992,152.78 "," 956,291.84 ",0.7,0.96,67.2,0.716818182,68.81454545
201209,1996.21,1943.115,3,0.25,2.812,100.1,99.3,"1,427,317.85"," 999,122 "," 992,128.64 "," 929,183.92 ",0.7,0.93,65.1,0.7188,66.8484
201210,1912.06,1946.305,2.75,0.25,2.78047619,99.7,99.3,"1,431,582.37"," 1,037,897 "," 1,030,631.94 "," 965,244.41 ",0.725,0.93,67.425,0.721952381,67.14157143
201211,1932.9,1899.325,2.75,0.25,2.799090909,100,99.3,"1,435,846.88"," 1,040,989 "," 1,033,702.07 "," 968,119.76 ",0.725,0.93,67.425,0.720090909,66.96845455
201212,1997.05,1967.085,2.75,0.25,2.85,100.1,99.4,"1,440,111.40"," 1,044,081 "," 1,037,816.28 "," 981,435.92 ",0.725,0.94,68.15,0.715,67.21
201301,1961.94,1986.425,2.75,0.25,2.745,100,99.3,"1,445,170.38"," 1,047,749 "," 1,040,414.28 "," 974,406.13 ",0.725,0.93,67.425,0.7255,67.4715
201302,2026.49,1979.8,2.75,0.25,2.704736842,100,99.4,"1,450,229.35"," 1,051,416 "," 1,045,107.78 "," 988,331.30 ",0.725,0.94,68.15,0.729526316,68.57547368
201303,2004.89,1989.97,2.75,0.25,2.6,99.7,99.4,"1,455,288.33"," 1,055,084 "," 1,048,753.53 "," 991,778.99 ",0.725,0.94,68.15,0.74,69.56
201304,1963.95,1949.225,2.75,0.25,2.550454545,99.8,99.4,"1,460,347.30"," 1,058,752 "," 1,052,399.28 "," 995,226.68 ",0.725,0.94,68.15,0.744954545,70.02572727
201305,2001.05,1974.43,2.5,0.25,2.594285714,99.8,99.4,"1,465,406.28"," 1,099,055 "," 1,092,460.38 "," 1,033,111.42 ",0.75,0.94,70.5,0.740571429,69.61371429
201306,1863.32,1885.545,2.5,0.25,2.869473684,100.1,99.6,"1,470,465.25"," 1,102,849 "," 1,098,437.54 "," 1,058,734.98 ",0.75,0.96,72,0.713052632,68.45305263
201307,1914.03,1865.16,2.5,0.25,2.913478261,100,99.8,"1,475,524.23"," 1,106,643 "," 1,104,429.88 "," 1,084,510.31 ",0.75,0.98,73.5,0.708652174,69.44791304
201308,1926.36,1888.9,2.5,0.25,2.937619048,100.1,99.9,"1,480,583.20"," 1,110,437 "," 1,109,326.96 "," 1,099,333.03 ",0.75,0.99,74.25,0.706238095,69.91757143
201309,1996.96,1969.515,2.5,0.25,2.896666667,99.9,99.8,"1,485,642.18"," 1,114,232 "," 1,112,003.17 "," 1,091,947.00 ",0.75,0.98,73.5,0.710333333,69.61266667
201310,2030.09,2022.245,2.5,0.25,2.833809524,100.1,99.9,"1,490,701.15"," 1,118,026 "," 1,116,907.84 "," 1,106,845.60 ",0.75,0.99,74.25,0.716619048,70.94528571
201311,2044.87,2007.06,2.5,0.25,2.937619048,100.1,99.9,"1,495,760.13"," 1,121,820 "," 1,120,698.27 "," 1,110,601.89 ",0.75,0.99,74.25,0.706238095,69.91757143
201312,2011.34,2000.16,2.5,0.25,2.940952381,100.2,100,"1,500,819.10"," 1,125,614 "," 1,125,614.33 "," 1,125,614.33 ",0.75,1,75,0.705904762,70.59047619
201401,1941.15,1956.825,2.5,0.25,2.8915,100.4,99.9,"1,505,994.92"," 1,129,496 "," 1,128,366.69 "," 1,118,201.23 ",0.75,0.99,74.25,0.71085,70.37415
201402,1979.99,1933.34,2.5,0.25,2.8555,100.4,99.9,"1,511,170.73"," 1,133,378 "," 1,132,244.67 "," 1,122,044.27 ",0.75,0.99,74.25,0.71445,70.73055
201403,1985.61,1951.72,2.5,0.25,2.875714286,100.5,99.8,"1,516,346.55"," 1,137,260 "," 1,134,985.39 "," 1,114,514.71 ",0.75,0.98,73.5,0.712428571,69.818
201404,1961.79,1984.12,2.5,0.25,2.875909091,100.3,99.7,"1,521,522.37"," 1,141,142 "," 1,137,718.35 "," 1,106,907.52 ",0.75,0.97,72.75,0.712409091,69.10368182
201405,1994.96,1978.655,2.5,0.25,2.839473684,100.1,99.5,"1,526,698.18"," 1,145,024 "," 1,139,298.52 "," 1,087,772.46 ",0.75,0.95,71.25,0.716052632,68.025
201406,2002.21,1990.95,2.5,0.25,2.746315789,100.1,99.4,"1,531,874.00"," 1,148,906 "," 1,142,012.07 "," 1,079,971.17 ",0.75,0.94,70.5,0.725368421,68.18463158
201407,2076.12,2039.305,2.5,0.25,2.55826087,100.1,99.3,"1,537,049.82"," 1,152,787 "," 1,144,717.85 "," 1,072,092.25 ",0.75,0.93,69.75,0.744173913,69.20817391
201408,2068.54,2057.71,2.25,0.25,2.541,100.2,99.4,"1,542,225.63"," 1,195,225 "," 1,188,053.52 "," 1,123,511.37 ",0.775,0.94,72.85,0.7459,70.1146
201409,2020.09,2039.945,2.25,0.25,2.405789474,99.9,99.6,"1,547,401.45"," 1,199,236 "," 1,194,439.18 "," 1,151,266.68 ",0.775,0.96,74.4,0.759421053,72.90442105
201410,1964.43,1955.005,2,0.25,2.24047619,99.5,99.6,"1,552,577.27"," 1,242,062 "," 1,237,093.57 "," 1,192,379.34 ",0.8,0.96,76.8,0.775952381,74.49142857
201411,1980.78,1958.935,2,0.25,2.139,99.4,99.7,"1,557,753.08"," 1,246,202 "," 1,242,463.86 "," 1,208,816.39 ",0.8,0.97,77.6,0.7861,76.2517
201412,1915.59,1935.885,2,0.25,2.143636364,99.7,99.7,"1,562,928.90"," 1,250,343 "," 1,246,592.09 "," 1,212,832.83 ",0.8,0.97,77.6,0.785636364,76.20672727
201501,1949.26,1920.2,2,0.25,2.04,99.7,99.9,"1,570,853.19"," 1,256,683 "," 1,255,425.87 "," 1,244,115.73 ",0.8,0.99,79.2,0.796,78.804
201502,1985.8,1963.09,2,0.25,2.024705882,100.1,100.1,"1,578,777.48"," 1,263,022 "," 1,264,285.01 "," 1,275,652.21 ",0.8,1.01,80.8,0.797529412,80.55047059
201503,2041.03,2008.13,1.75,0.25,1.865909091,99.9,100.3,"1,586,701.78"," 1,309,029 "," 1,312,956.05 "," 1,348,299.83 ",0.825,1.03,84.975,0.813409091,83.78113636
